vendor_class,bank,n,mean_stated,realized_legit,base_legit,discrimination,evidence_weight
recurring,domestic_major,1197,0.885869818513482,1.0,0.9999413666839635,-0.0,0.908883826879271
recurring,domestic_small,547,0.8804721599447896,1.0,0.9998842277702847,-0.0,0.8200899550224887
occasional,domestic_major,474,0.8861170626925458,1.0,0.9998699998699998,-0.0,0.797979797979798
new,domestic_major,265,0.8088971920431848,1.0,0.9997994283708569,-0.0,0.6883116883116883
occasional,domestic_small,249,0.888555849489906,1.0,0.9997907314980485,-0.0,0.6747967479674797
recurring,international,150,0.881558751549494,1.0,0.9997139997139997,-0.0,0.5555555555555556
new,domestic_small,117,0.8048451504443135,0.9914529914529915,0.9954547676066663,0.016949152542372836,0.4936708860759494
occasional,international,75,0.8737851199057567,1.0,0.9996039996039995,-0.0,0.38461538461538464
new,international,34,0.8082301713998277,0.9705882352941176,0.9930050644336358,0.05882352941176472,0.22077922077922077
