metric,n,mean,median,sd,p05,p95,min,max,cv,verdict
no mechanisms: analyst hrs/wk,15,18.87333333333333,18.8,0.48176263667415953,18.32,19.69,17.9,19.9,0.02552610226108228,stable: publish as point estimate
pause engine: analyst hrs/wk,15,5.086666666666667,5.1,0.1302013093343571,4.87,5.2299999999999995,4.8,5.3,0.025596587680410964,stable: publish as point estimate
reduction %,15,73.044755387053,73.11827956989248,0.4686388182358204,72.3604567133979,73.70573664358498,72.19251336898395,73.82198952879581,0.006415776406568478,stable: publish as point estimate
arrival order: unreviewed released $,15,29845.482696,31089.76574,9808.444649196392,14934.349178,43922.173526,12114.849040000001,45020.47032,0.3286408448844071,unstable: publish range only
corrected triage: unreviewed released $,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable: publish as point estimate
